Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1844.0,OUT049
FDW14,1450.0,OUT017
NCN55,1900.0,OUT010
FDQ58,2576.0,OUT017
FDY38,5184.0,OUT027
FDH56,1942.0,OUT046
FDL48,600.0,OUT018
FDC48,2768.0,OUT027
FDN33,1504.0,OUT045
FDA36,3072.0,OUT017
FDT44,1986.0,OUT017
FDQ56,1292.0,OUT045
NCC54,1876.0,OUT019
FDU11,2052.0,OUT049
DRL59,864.0,OUT013
FDM24,2564.0,OUT049
FDI57,3066.0,OUT045
DRC12,2764.0,OUT018
NCM42,3212.0,OUT027
FDA46,1132.0,OUT010
FDA31,2790.0,OUT013
NCJ31,3894.0,OUT035
FDG52,774.0,OUT046
NCL19,384.0,OUT019
FDS10,3008.0,OUT035
FDX22,1468.0,OUT010
NCF19,938.0,OUT035
NCE06,2570.0,OUT046
DRC27,3870.0,OUT046
FDE21,1978.0,OUT035
NCR42,-1340.0,OUT019
FDX51,2864.0,OUT018
NCR06,440.0,OUT018
FDU31,4948.0,OUT027
FDU59,2700.0,OUT017
FDR03,4756.0,OUT027
FDS49,2744.0,OUT027
FDD48,-74.0,OUT010
NCF18,3136.0,OUT017
NCD43,3116.0,OUT027
NCD54,2006.0,OUT018
FDY19,-72.0,OUT010
NCY54,2832.0,OUT017
NCL19,2032.0,OUT018
FDP23,1528.0,OUT010
FDC26,1810.0,OUT013
FDR14,-1032.0,OUT010
NCS41,3042.0,OUT035
FDF41,4034.0,OUT035
FDU34,2006.0,OUT046
DRH11,950.0,OUT046
FDM03,1726.0,OUT013
FDS31,3028.0,OUT017
FDJ20,2104.0,OUT017
FDV44,4492.0,OUT027
FDG02,3104.0,OUT049
FDA09,2912.0,OUT013
FDT04,632.0,OUT013
FDL58,2296.0,OUT019
FDE52,1438.0,OUT045
FDW12,2504.0,OUT035
FDL51,3556.0,OUT017
NCY42,3708.0,OUT027
FDR07,1656.0,OUT017
FDN40,2342.0,OUT045
FDB35,2960.0,OUT027
FDA22,2786.0,OUT017
NCL06,4146.0,OUT046
FDI35,2904.0,OUT013
NCW42,3420.0,OUT045
NCX06,2968.0,OUT049
FDC37,3188.0,OUT027
FDZ14,1730.0,OUT018
DRG49,3968.0,OUT049
NCG06,3964.0,OUT045
DRC36,2732.0,OUT045
FDV21,52.0,OUT019
FDB53,2362.0,OUT046
DRP47,2048.0,OUT019
FDA14,2304.0,OUT013
DRC24,2574.0,OUT035
FDW21,1400.0,OUT018
NCH29,1586.0,OUT046
FDU58,3076.0,OUT013
FDY27,2924.0,OUT017
FDV56,1952.0,OUT035
FDT59,3630.0,OUT046
FDB23,3642.0,OUT046
FDR49,676.0,OUT045
FDB03,1928.0,OUT010
FDN39,2610.0,OUT045
FDX02,4968.0,OUT027
FDQ16,3180.0,OUT027
FDU35,1312.0,OUT018
NCT29,1980.0,OUT013
FDZ27,826.0,OUT046
FDN57,2340.0,OUT017
FDA03,2092.0,OUT018
FDZ36,2916.0,OUT045
NCU05,1344.0,OUT013
FDT39,2184.0,OUT018
FDK60,1714.0,OUT017
FDZ25,2848.0,OUT017
FDG12,1910.0,OUT046
DRB01,1180.0,OUT019
NCC43,5388.0,OUT027
FDX13,2024.0,OUT019
FDM22,1040.0,OUT049
FDJ03,2312.0,OUT027
FDU14,3660.0,OUT018
FDB33,632.0,OUT010
FDP27,3018.0,OUT046
FDO38,-670.0,OUT010
FDE28,5146.0,OUT027
FDO27,1702.0,OUT035
DRL23,3176.0,OUT027
FDS28,990.0,OUT046
FDX24,1530.0,OUT013
FDZ02,1750.0,OUT035
FDL46,1794.0,OUT045
FDS60,4284.0,OUT027
NCO06,660.0,OUT017
FDO16,1518.0,OUT035
FDC60,1556.0,OUT049
FDA48,3180.0,OUT018
FDZ36,4452.0,OUT027
FDK27,1862.0,OUT045
FDW23,368.0,OUT018
FDM14,1492.0,OUT018
FDM14,1774.0,OUT013
FDW60,2600.0,OUT018
FDE21,1900.0,OUT013
NCM42,1900.0,OUT035
FDY59,-386.0,OUT010
DRI49,1396.0,OUT049
FDT28,504.0,OUT019
FDQ22,392.0,OUT018
FDR60,1300.0,OUT049
FDC50,-436.0,OUT019
